signal,holding_period,direction,p_value,p_value_less,null_mean,null_se,observed_mean,excess_vs_rotation,n_offsets,n_trades,p_adj,reject,beats_rotation_null,p_value_two_sided,p_adj_two_sided,loses_to_rotation_null
smc_internal_bos_bearish,2,-1,0.24279835390946503,0.7574437182280319,-0.0014405290586237563,0.0007776444930870724,-0.0010099786843241873,0.000430550374299569,4130,16606,1.0,False,False,0.48559670781893005,0.6809961798894956,False
smc_internal_bos_bullish,2,1,0.9983054950375212,0.0019365770999757927,0.0014351196595463987,0.0004673088611095369,0.0003340694782210909,-0.0011010501813253078,4130,31993,1.0,False,False,0.0038731541999515854,0.030985233599612683,True
smc_internal_choch_bearish,2,-1,0.5267489711934157,0.4734931009440813,-0.0014440767460544978,0.0005857972804130052,-0.0014693924771654833,-2.5315731110985484e-05,4130,26380,1.0,False,False,0.9469862018881626,0.9634079279324661,False
smc_internal_choch_bullish,2,1,0.6555313483418058,0.3447107237956911,0.0014030180120986424,0.0005605798056447553,0.0012504571957532723,-0.00015256081634537014,4130,26469,1.0,False,False,0.6894214475913822,0.8259200118221263,False
smc_internal_ob_bearish_formed,2,-1,0.37956911159525536,0.6206729605422416,-0.00144269356078246,0.0005311300084164076,-0.0012919154975925397,0.00015077806318992038,4130,42986,1.0,False,False,0.7591382231905107,0.8647788173561806,False
smc_internal_ob_bearish_mitigated,2,1,0.8908254659888647,0.10941660614863229,0.0014083243875387716,0.0004341587444942646,0.00096510936022564,-0.0004432150273131315,4130,38218,1.0,False,False,0.21883321229726457,0.4288478310456332,False
smc_internal_ob_bullish_formed,2,1,0.9825708061002179,0.01767126603727911,0.0014205667374957232,0.00034849979293084625,0.0007489691822229949,-0.0006715975552727283,4130,58462,1.0,False,False,0.03534253207455822,0.12958928427338015,False
smc_internal_ob_bullish_mitigated,2,-1,0.14621157104817237,0.8540305010893247,-0.0014393363913950599,0.0007253286932039493,-0.0008165235898062192,0.0006228128015888407,4130,39689,1.0,False,False,0.29242314209634473,0.512104209044345,False
smc_swing_bos_bearish,2,-1,0.1019123698862261,0.8983297022512708,-0.001388845412187227,0.001553362458336136,0.0004045419802237283,0.0017933873924109553,4130,1249,1.0,False,False,0.2038247397724522,0.40997890514230384,False
smc_swing_bos_bullish,2,1,0.5030259017187122,0.4972161704187848,0.0014278988579822796,0.0006602782039984692,0.001398580367942814,-2.931849003946557e-05,4130,4581,1.0,False,False,0.9944323408375696,0.9972654814097563,False
smc_swing_choch_bearish,2,-1,0.007020091987412249,0.9932219801500847,-0.0014337372129305625,0.0013274326121019762,0.0021006210603770536,0.003534358273307616,4130,2660,0.9373033163882838,False,False,0.014040183974824498,0.07021960824777726,False
smc_swing_choch_bullish,2,1,0.7150810941660615,0.28516097797143547,0.0013797977072632472,0.0009913658061090648,0.0009426306305380812,-0.00043716707672516596,4130,2709,1.0,False,False,0.5703219559428709,0.7490795839249649,False
smc_swing_ob_bearish_formed,2,-1,0.007988380537400145,0.9922536916000968,-0.001419725513425717,0.0012131502668839042,0.0015586914694045533,0.0029784169828302705,4130,3909,0.9373033163882838,False,False,0.01597676107480029,0.07599756619364462,False
smc_swing_ob_bearish_mitigated,2,1,0.9544904381505689,0.0457516339869281,0.0013870896297599098,0.0008674298959882749,0.00011785192487295896,-0.0012692377048869508,4130,3365,1.0,False,False,0.0915032679738562,0.24587137654043806,False
smc_swing_ob_bullish_formed,2,1,0.6390704429920117,0.36117162914548534,0.0014098852098713061,0.0006260133006608997,0.0012291471939195739,-0.0001807380159517323,4130,7290,1.0,False,False,0.7223432582909707,0.8354856750742723,False
smc_swing_ob_bullish_mitigated,2,-1,0.020334059549745823,0.9799080125877512,-0.0014053121415925772,0.0017645593817426568,0.002001054432771669,0.0034063665743642463,4130,3415,1.0,False,False,0.04066811909949165,0.14315177923021058,False
ict_bos_bearish,3,-1,0.7645919108743037,0.23565027851780093,-0.0021596752392431776,0.0009814877605318288,-0.002670613789440196,-0.0005109385501970184,4128,42583,1.0,False,False,0.47130055703560186,0.6716509962612626,False
ict_bos_bullish,3,1,0.9985468636473722,0.0016953257447323807,0.00214525154844483,0.0006531192811985228,0.0008570514876382544,-0.0012882000608065755,4128,80874,1.0,False,False,0.0033906514894647614,0.027850462007968577,True
ict_bpr_bearish,3,-1,0.9917655606684427,0.008476628723661903,-0.0021852665985955806,0.0007472955037824591,-0.003922566550067627,-0.001737299951472046,4128,26231,1.0,False,False,0.016953257447323806,0.07750060547348026,False
ict_bpr_bullish,3,1,0.7004117219665779,0.29983046742552677,0.002138927403721847,0.0007765897897922421,0.0018530899785708561,-0.00028583742515099074,4128,26875,1.0,False,False,0.5996609348510535,0.7703673323633973,False
ict_displacement_bearish,3,-1,0.9861952046500363,0.014046984742068298,-0.0021584985185074323,0.0003542807107523988,-0.002935016524409674,-0.0007765180059022417,4128,190757,1.0,False,False,0.028093969484136595,0.10867117866391297,False
ict_displacement_bullish,3,1,0.9910389924921288,0.009203196899975782,0.00214501335105032,0.0003009147342067616,0.0014358472540512749,-0.0007091660969990453,4128,212891,1.0,False,False,0.018406393799951563,0.08201329895674621,False
ict_fvg_bearish_formed,3,-1,0.9970937272947444,0.0031484620973601355,-0.0021693093807471212,0.0005719254806924839,-0.0037241369037720445,-0.0015548275230249232,4128,90913,1.0,False,False,0.006296924194720271,0.042625333010414136,True
ict_fvg_bullish_formed,3,1,0.9782029547105837,0.02203923468152095,0.002148391336120822,0.000429777748263001,0.0012596339049436192,-0.0008887574311772029,4128,112379,1.0,False,False,0.0440784693630419,0.1521139334881446,False
ict_liquidity_buyside_pool_formed,3,1,0.7052555098086704,0.2949866795834342,0.0020696243679123607,0.0005681068772893622,0.001883262425783404,-0.00018636194212895657,4128,59053,1.0,False,False,0.5899733591668684,0.763494935392418,False
ict_liquidity_buyside_swept,3,1,0.8772099782029548,0.12303221118914992,0.002060983533337363,0.0005226249850769486,0.0016261463126192419,-0.0004348372207181213,4128,44356,1.0,False,False,0.24606442237829984,0.4707319384628345,False
ict_liquidity_sellside_pool_formed,3,-1,0.9811092274158392,0.01913296197626544,-0.0020948951394356877,0.0007127670126472143,-0.0031176359393353097,-0.001022740799899622,4128,51765,1.0,False,False,0.03826592395253088,0.1388619096009368,False
ict_liquidity_sellside_swept,3,-1,0.6541535480745944,0.34608864131751027,-0.002109949413901333,0.0007131641053218522,-0.0023490642217141185,-0.00023911480781278532,4128,32963,1.0,False,False,0.6921772826350205,0.8259200118221263,False
ict_mss_bearish,3,-1,0.5744732380721724,0.4257689513199322,-0.0021654912107720702,0.0007735582656694393,-0.002262909417676166,-9.741820690409558e-05,4128,36610,1.0,False,False,0.8515379026398644,0.9083070961491887,False
ict_mss_bullish,3,1,0.9551949624606442,0.045047226931460405,0.0021112905982193964,0.0008081611006254915,0.001187235323356868,-0.0009240552748625284,4128,36582,1.0,False,False,0.09009445386292081,0.2439480596903702,False
