signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len,ict.displacement_perc_body,ict.sweep_penetration_atr,smc.swing_len,smc.internal_len,draw
ict_liquidity_sellside_pool_formed,2582,-0.009271504579719333,-0.002497113730343817,0.9819054739359419,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_liquidity_sellside_swept,1681,-0.010984867797072783,-0.0041997769241577726,0.9974415528868736,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_mss_bearish,2041,-0.009580235143955014,-0.002610192332298776,0.9728482127469291,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_mss_bullish,2042,0.004820921633502527,-0.002156592745811441,0.9439525005203792,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_ob_bearish_formed,567,-0.0046649978099444125,0.002307754946493089,0.19438582798570242,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_ob_bearish_mitigated,511,0.006698681338958058,-0.000272870852465224,0.5386859974604196,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_ob_bullish_formed,918,0.0036989336516386417,-0.0033169481052228536,0.9513823623117248,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_ob_bullish_mitigated,512,-0.010803788544932235,-0.003968278156751945,0.9233891565819142,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_sweep_buyside_bearish,2492,-0.0063113962613971526,0.0004922249936777342,0.34068595037193977,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_sweep_sellside_bullish,1887,0.008930528110295525,0.0020321987542476485,0.07475415057750498,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_bos_bearish,390,-0.010192656302758419,-0.0029151727362990857,0.8057798947072271,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_bos_bullish,889,0.003023996194526369,-0.004032514018388562,0.9762393184071756,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_choch_bearish,733,-0.00511641185990333,0.001945995324646379,0.19815663549124707,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_choch_bullish,730,0.005201757485471311,-0.0018745850260620178,0.7926003459509943,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_ob_bearish_formed,1123,-0.00687931064237304,0.00025778914141509797,0.44598354053486255,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_ob_bearish_mitigated,1112,0.00728090586435538,0.00014397259302886736,0.4699097875812553,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_ob_bullish_formed,1619,0.0040059392102087706,-0.003059513299180176,0.9780101639468357,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_internal_ob_bullish_mitigated,1511,-0.006770726566510985,0.0002563301606105057,0.4354267814575592,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_bos_bearish,72,0.002074193948320099,0.00912844152796002,0.13168132520593429,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_bos_bullish,287,0.011546546945366717,0.004478657842400951,0.10013300006165898,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_choch_bearish,174,0.005176286193525396,0.011968378684357076,0.0048116556945496484,23,6,0.5623926820566052,0.54248571617199,48,12,4
