signal,n_trades_train,mean_return_train,matched_null_mean_train,excess_return_train,p_value_train,n_trades_test,mean_return_test,matched_null_mean_test,excess_return_test,p_value_test,fold,train_start,test_start,selected
ict_liquidity_buyside_pool_formed,9428,0.009370165795026397,0.008728984713374894,0.0006411810816515026,0.08641921734815328,3776,-0.0003824179841615669,0.0020127504220955866,-0.0023951684062571534,0.9993420924257699,3,2012-01-05,2015-01-05,False
ict_liquidity_buyside_swept,7444,0.00901567805241524,0.008873897392938226,0.000141780659477014,0.39445221033047595,2704,-0.003594490991547343,0.0026070053420045847,-0.006201496333551928,0.9999999999988984,3,2012-01-05,2015-01-05,False
ict_liquidity_sellside_pool_formed,7303,-0.013268092211981566,-0.008591770402493365,-0.004676321809488201,1.0,3546,-0.007419789460486321,-0.0010947992760154113,-0.00632499018447091,0.9999999999999979,3,2012-01-05,2015-01-05,False
ict_liquidity_sellside_swept,4309,-0.01381486405574188,-0.008314064479167165,-0.005500799576574714,0.9999999999999734,2299,-0.008808209285073969,-0.000306711559072616,-0.008501497726001353,0.9999999999999999,3,2012-01-05,2015-01-05,False
ict_mss_bearish,6288,-0.011026555914596723,-0.009434705708593675,-0.0015918502060030485,0.996085416941774,2331,-0.00935873571387953,-0.0024087759632263716,-0.006949959750653158,0.9999999999972483,3,2012-01-05,2015-01-05,False
ict_mss_bullish,6246,0.010173733339140633,0.009443833272410412,0.0007299000667302206,0.112485709932238,2251,-0.005996275122064407,0.0024426070689872437,-0.00843888219105165,0.9999999999999999,3,2012-01-05,2015-01-05,False
ict_nwog_gap_down,23252,-0.007896215142739015,-0.009324860434131037,0.0014286452913920226,6.396886464222553e-07,8471,-0.001953038044428962,-0.002006303873674153,5.3265829245191e-05,0.4591423648656998,3,2012-01-05,2015-01-05,False
ict_nwog_gap_up,23947,0.00985172258676603,0.009633037092322718,0.0002186854944433124,0.23136620524825818,7864,-0.0037048590746529366,0.002789900096319531,-0.006494759170972468,1.0,3,2012-01-05,2015-01-05,False
ict_ob_bearish_formed,3056,-0.012385377368264517,-0.008862968246929136,-0.0035224091213353816,0.9999676196658421,1719,-0.009467167486659102,-0.0002264413451274754,-0.009240726141531626,0.9999999999999865,3,2012-01-05,2015-01-05,False
ict_ob_bearish_mitigated,3331,0.009666397504405629,0.0094089726435782,0.0002574248608274293,0.3793437466152969,1047,-0.000432902119121196,0.003657810413894732,-0.004090712533015928,0.9960796633559195,3,2012-01-05,2015-01-05,False
ict_ob_bullish_formed,6098,0.007946678739062896,0.009911049325588646,-0.00196437058652575,0.9994541816067846,1876,-0.0017483407398463159,0.004424710238981814,-0.006173050978828129,0.9999999710925312,3,2012-01-05,2015-01-05,False
ict_ob_bullish_mitigated,2582,-0.017744717374720716,-0.00871049293176086,-0.009034224442959857,1.0,1441,-0.012979870067217245,0.0012152664481749997,-0.014195136515392245,1.0,3,2012-01-05,2015-01-05,False
ict_sweep_buyside_bearish,11809,-0.008167481172800205,-0.009644660173531203,0.0014771790007309972,0.00022945149133788196,4116,-0.003912721485064946,-0.003608963563970151,-0.0003037579210947946,0.6608628079414013,3,2012-01-05,2015-01-05,True
ict_sweep_sellside_bullish,7314,0.01262504432914273,0.00899554491278612,0.0036294994163566102,1.849174408491877e-11,3781,0.0006321820882629626,0.0007774992949656559,-0.00014531720670269332,0.5733116790887599,3,2012-01-05,2015-01-05,True
ict_volume_imbalance_bearish,13478,-0.009730670986390594,-0.009261657534627356,-0.0004690134517632387,0.8826462882600028,6272,-0.0029521114413473518,-0.0017957476256878864,-0.0011563638156594654,0.9725508961898333,3,2012-01-05,2015-01-05,False
ict_volume_imbalance_bullish,19923,0.007946118847163713,0.00952062839688077,-0.0015745095497170566,0.999999722913102,6824,-0.002786008705729826,0.0031793784036587345,-0.005965387109388561,1.0,3,2012-01-05,2015-01-05,False
smc_equal_highs,1970,-0.011147888996557978,-0.009357717824684317,-0.0017901711718736613,0.9540547367967223,691,0.001208323124858874,-0.0025139998450528557,0.0037223229699117296,0.02349520937648175,3,2012-01-05,2015-01-05,False
smc_equal_lows,1770,0.010144542939228967,0.009293108409632,0.0008514345295969668,0.22587346078269882,601,-0.004136632718297218,0.0019362000837817512,-0.0060728328020789694,0.9980071192705071,3,2012-01-05,2015-01-05,False
smc_fvg_bearish_formed,7156,-0.015121729405625962,-0.009418108417846308,-0.0057036209877796545,1.0,3665,-0.013641950783051717,-0.0002384112591900139,-0.013403539523861703,1.0,3,2012-01-05,2015-01-05,False
smc_fvg_bullish_formed,8487,0.009577942168903971,0.009992598837001092,-0.0004146566680971204,0.782963010135199,3684,-0.0009703615798737342,0.0023837447424024183,-0.0033541063222761527,0.9999700859355509,3,2012-01-05,2015-01-05,False
smc_internal_bos_bearish,2254,-0.015599635015446396,-0.008901805417728293,-0.006697829597718103,0.9999999998313738,1281,-0.003273550839207391,0.0012472300835129878,-0.004520780922720379,0.9992687097508839,3,2012-01-05,2015-01-05,False
smc_internal_bos_bullish,6515,0.005219457893102874,0.010126885091394535,-0.004907427198291661,1.0,1628,-0.0035033592860307474,0.0052956187050658765,-0.008798977991096624,0.9999999999999446,3,2012-01-05,2015-01-05,False
smc_internal_choch_bearish,4581,-0.010277617693389569,-0.009426725632926014,-0.000850892060463555,0.8863010452007944,1723,-0.007488567211421133,-0.002435220902116644,-0.0050533463093044885,0.9999888736438729,3,2012-01-05,2015-01-05,False
smc_internal_choch_bullish,4572,0.009592746911913719,0.009456548170006992,0.0001361987419067276,0.4235818629828555,1604,-0.0036086824695365687,0.0025583353350684367,-0.006167017804605005,0.999999652583321,3,2012-01-05,2015-01-05,False
