signal,cost_bps,n_trades,mean_net_return
ict_volume_imbalance_bullish,40.0,117546,0.0010128544465555604
smc_equal_highs,40.0,10483,-0.011534187906091425
smc_equal_lows,40.0,9341,0.0019740450723590057
smc_fvg_bearish_formed,40.0,67673,-0.014898351237571173
smc_fvg_bullish_formed,40.0,68004,0.0025334826287078194
smc_internal_bos_bearish,40.0,16549,-0.014346679410685289
smc_internal_bos_bullish,40.0,31944,0.00020953400367059675
smc_internal_choch_bearish,40.0,26315,-0.011668395934575993
smc_internal_choch_bullish,40.0,26396,0.0023951662191522257
smc_internal_ob_bearish_formed,40.0,42864,-0.012702431797914289
smc_internal_ob_bearish_mitigated,40.0,38121,0.0030100926096404673
smc_internal_ob_bullish_formed,40.0,58340,0.001198425809633111
smc_internal_ob_bullish_mitigated,40.0,39612,-0.011923058038399074
smc_swing_bos_bearish,40.0,1245,-0.011586857160545146
smc_swing_bos_bullish,40.0,4576,0.0021220591295340804
smc_swing_choch_bearish,40.0,2653,-0.007683011440427951
smc_swing_choch_bullish,40.0,2699,0.0033393012263925456
smc_swing_ob_bearish_formed,40.0,3898,-0.008929878531640345
smc_swing_ob_bearish_mitigated,40.0,3356,0.0025496313240758045
smc_swing_ob_bullish_formed,40.0,7275,0.00257365176450604
smc_swing_ob_bullish_mitigated,40.0,3405,-0.014515017326172648
ict_bos_bearish,60.0,42496,-0.017988047447663913
ict_bos_bullish,60.0,80739,-0.0016479038640663168
ict_bpr_bearish,60.0,26182,-0.013852787976803088
ict_bpr_bullish,60.0,26830,0.00019066848456905563
ict_displacement_bearish,60.0,190415,-0.015015994204249776
ict_displacement_bullish,60.0,212461,-0.0003368763644493048
ict_fvg_bearish_formed,60.0,90730,-0.014777823080069976
ict_fvg_bullish_formed,60.0,112181,-0.00035800349764938434
ict_liquidity_buyside_pool_formed,60.0,58941,0.0014293430878938992
ict_liquidity_buyside_swept,60.0,44261,0.000416726732818477
ict_liquidity_sellside_pool_formed,60.0,51635,-0.014229674778572293
ict_liquidity_sellside_swept,60.0,32884,-0.014845383052689235
ict_mss_bearish,60.0,36553,-0.014462370119570873
ict_mss_bullish,60.0,36506,0.0007595233126525816
ict_nwog_gap_down,60.0,130643,-0.013314332473051957
ict_nwog_gap_up,60.0,147321,0.0016672287612617973
ict_ob_bearish_formed,60.0,22431,-0.014674436595598117
ict_ob_bearish_mitigated,60.0,20124,0.0008396926405471418
ict_ob_bullish_formed,60.0,32541,-0.0004719766119903948
ict_ob_bullish_mitigated,60.0,20562,-0.015388512304144128
ict_sweep_buyside_bearish,60.0,65448,-0.011924371965095586
ict_sweep_sellside_bullish,60.0,49304,0.00221613475931871
ict_volume_imbalance_bearish,60.0,84642,-0.015396932687033535
ict_volume_imbalance_bullish,60.0,117546,-0.0009871455534444396
smc_equal_highs,60.0,10483,-0.013534187906091424
smc_equal_lows,60.0,9341,-2.595492764099431e-05
smc_fvg_bearish_formed,60.0,67673,-0.016898351237571173
smc_fvg_bullish_formed,60.0,68004,0.0005334826287078194
