signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.sweep_penetration_atr,ict.sweep_confirm_bars,ict.gap_min_atr
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,1.0,3,0.25
ict_sweep_buyside_bearish,1297,-0.0055144900498962585,0.0014031322271925648,0.204059432504769,1.0,3,0.25
ict_sweep_sellside_bullish,986,0.006752252353868214,-0.0001262140379327762,0.5255717645346859,1.0,3,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,1.0,6,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,1.0,6,0.05
ict_sweep_buyside_bearish,1397,-0.005899371489702495,0.0010166668021223272,0.26577204407872845,1.0,6,0.05
ict_sweep_sellside_bullish,1079,0.00788960613121592,0.0009979177297956424,0.2978443924945686,1.0,6,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,1.0,6,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,1.0,6,0.1
ict_sweep_buyside_bearish,1397,-0.005899371489702495,0.0010166668021223272,0.26577204407872845,1.0,6,0.1
ict_sweep_sellside_bullish,1079,0.00788960613121592,0.0009979177297956424,0.2978443924945686,1.0,6,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,1.0,6,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,1.0,6,0.25
ict_sweep_buyside_bearish,1397,-0.005899371489702495,0.0010166668021223272,0.26577204407872845,1.0,6,0.25
ict_sweep_sellside_bullish,1079,0.00788960613121592,0.0009979177297956424,0.2978443924945686,1.0,6,0.25
