signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len
smc_internal_ob_bullish_mitigated,3329,-0.006646380873423673,0.0003058950274887236,0.38569537128797365,5,10
smc_swing_bos_bearish,70,0.001085292548169611,0.00812965661085061,0.16380744521106422,5,10
smc_swing_bos_bullish,275,0.012206405823636234,0.0050690290112282285,0.07852787821669886,5,10
smc_swing_choch_bearish,168,0.003048274478786804,0.00989252357985805,0.018455499327838885,5,10
smc_swing_choch_bullish,165,0.0048771221006292335,-0.0019799141162474805,0.6600154000347649,5,10
smc_swing_ob_bearish_formed,238,0.0024709268521346884,0.009374033294855864,0.011795706619165175,5,10
smc_swing_ob_bearish_mitigated,234,0.005981760718047573,-0.0009248730612089291,0.5875960409331018,5,10
smc_swing_ob_bullish_formed,440,0.009457924427508608,0.0024256753384248354,0.19903037327434053,5,10
smc_swing_ob_bullish_mitigated,410,-0.010761670184265716,-0.0037939496167895817,0.898487935678928,5,10
ict_bos_bearish,2900,-0.013513805236560027,-0.006513146678592198,0.9999999896330115,10,3
ict_bos_bullish,5209,0.0036532728221285735,-0.0032823190812607513,0.9999691455818238,10,3
ict_bpr_bearish,1571,-0.006550064246620952,0.00041763070175556815,0.3947298560327847,10,3
ict_bpr_bullish,1654,0.0047686407175905315,-0.002266561122639072,0.9316327193352766,10,3
ict_displacement_bearish,11216,-0.008984097761467795,-0.0020715408434005935,0.9999082563827013,10,3
ict_displacement_bullish,12445,0.005055933078069827,-0.001956241519769036,0.9999130127888889,10,3
ict_fvg_bearish_formed,5444,-0.008570794800043458,-0.001686954777227032,0.9803900339011776,10,3
ict_fvg_bullish_formed,6715,0.0047841951821926704,-0.0022197758812204016,0.9988261858794985,10,3
ict_liquidity_buyside_pool_formed,5833,0.008354626973040768,0.001575800665271485,0.019097015149771197,10,3
ict_liquidity_buyside_swept,4191,0.006005940249055651,-0.0007545197423901948,0.7999594184874924,10,3
ict_liquidity_sellside_pool_formed,5338,-0.007347618733726301,-0.00048507618786984043,0.7239815599218679,10,3
ict_liquidity_sellside_swept,3248,-0.00917992299356198,-0.002274083412018486,0.9833527203285589,10,3
ict_mss_bearish,2855,-0.008355461938923628,-0.0013957717953392654,0.8892555117697098,10,3
ict_mss_bullish,2853,0.005266212109819436,-0.0016985668885706401,0.9313653434857728,10,3
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,10,3
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,10,3
ict_ob_bearish_formed,1381,-0.0078080616916396265,-0.0008239211895681954,0.6874475766988188,10,3
ict_ob_bearish_mitigated,1227,0.005353344199216388,-0.0016516043331321131,0.8237051458013775,10,3
ict_ob_bullish_formed,1967,0.004347032237584844,-0.0026532812467594596,0.9733623640151646,10,3
ict_ob_bullish_mitigated,1277,-0.00977303889800904,-0.0029197457008298703,0.9537142957470778,10,3
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,10,3
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,10,3
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,10,3
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,10,3
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,10,3
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,10,3
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,10,3
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,10,3
smc_internal_bos_bearish,1048,-0.012834171710443118,-0.005940465272575376,0.998791706819664,10,3
smc_internal_bos_bullish,1981,0.002136678027645868,-0.004854754883838899,0.9998140203473082,10,3
smc_internal_choch_bearish,1594,-0.0070261495623035975,-5.0713106236772824e-05,0.5131412946459099,10,3
smc_internal_choch_bullish,1600,0.007732525235902663,0.0007627751705171744,0.3096378231321552,10,3
smc_internal_ob_bearish_formed,2642,-0.009330013003352127,-0.0023869963274036387,0.9763018996164368,10,3
smc_internal_ob_bearish_mitigated,2606,0.007649561175434465,0.0006997404061540227,0.28192516135872825,10,3
smc_internal_ob_bullish_formed,3581,0.004636916936668732,-0.002344828023473156,0.9897501410791308,10,3
smc_internal_ob_bullish_mitigated,3329,-0.006646380873423673,0.0003058950274887236,0.38569537128797365,10,3
smc_swing_bos_bearish,70,0.001085292548169611,0.00812965661085061,0.16380744521106422,10,3
