combination,n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_value_vs_matched_random_srs,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,p_adj_vs_matched_random,reject_vs_matched_random,low_sample_warning,beats_matched_random,statistically_significant
ict_mss_bullish+smc_internal_choch_bullish,12134,0.5670842261414208,0.006640316452025739,0.007702846493364168,0.0622754804458354,0.4488606159875177,7.674504542746703,1.3541077032574584,0.5352688376715408,0.7758903002291592,0.0066403164520257435,-0.8790172117215087,-0.26662148654975104,0.14322762810351755,0.1258995502970392,1.028814863047521,8.111713162612686e-32,0.10662810474503216,0.9275481838867501,-0.013379389941508984,0.007080600325355731,-0.00044028387332999217,0.5926788795933349,0.7872443360014438,1.2807968151493714e-31,True,1.0,False,0.9995462817276003,False,False,False,False
ict_ob_bearish_formed+smc_internal_ob_bearish_formed,16290,0.4357888275015347,-0.0075997034784576955,-0.007790936957694394,0.06997968277642554,0.2825345469233235,6.287159943276549,0.7337535350198957,-0.5451612120836451,-0.7944330707775126,-0.007599703478457693,-1.0,-0.9970364909109193,-0.22551591166380977,-0.22551591166380977,0.9477089959990738,5.927953466337171e-45,-0.1085987128969646,1.0,-0.22484204011119283,-0.007028665400044986,-0.0005710380784127098,0.5708563826954315,0.8825715633881586,1.6167145817283195e-44,True,1.0,False,0.9995462817276003,False,False,False,False
smc_internal_choch_bearish+smc_internal_ob_bearish_formed,26315,0.43636709101273036,-0.007668395934575993,-0.0074694778722737,0.06513615173813356,0.023411652541464902,6.294966054457042,0.7175747753913032,-0.5909934966888779,-0.8390693791214253,-0.0076683959345759944,-1.0,-0.9976034562980217,-0.2207725883995141,-0.2207725883995141,0.9242923019082787,1.286501746147939e-82,-0.11772872252885301,1.0,-0.2345516175827639,-0.007083410309922026,-0.0005849856246539671,0.5940727267925553,0.9411939898974524,1.2865017461479388e-81,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+ict_liquidity_buyside_swept,14460,0.5727524204702628,0.006279042480609964,0.007409981399610244,0.056093237300899705,0.5856806049956315,10.150638671704247,1.3690066525017417,0.5619312524525795,0.8288883669919213,0.006279042480609964,-0.8444073215013015,-0.25360654908035934,0.14937502369638422,0.12613336365865724,1.0164237993519933,7.540029624301461e-40,0.11193938490173844,0.9936663045374788,-0.020037678144028726,0.006895760130690631,-0.0006167176500806674,0.6751800422906031,0.8950828783022196,1.5080059248602922e-39,True,1.0,False,0.9995462817276003,False,False,False,False
smc_internal_choch_bullish+smc_internal_ob_bullish_formed,26396,0.5678890741021367,0.006395166219152226,0.007611368447442812,0.06042104619141264,0.3264691475312088,6.493044308796982,1.3482839618657367,0.5313294233590591,0.7646388176440233,0.006395166219152228,-0.8738818958391211,-0.25255069392443624,0.1396069249780011,0.12199996427204556,1.0220514115197044,6.4117205029909034e-68,0.10584335462998223,0.9972006492036037,-0.017510738806895746,0.007081836088415627,-0.0006866698692634008,0.6652689372643187,0.9671142148794577,3.8470323017945424e-67,True,1.0,False,0.9995462817276003,False,False,False,False
ict_bpr_bearish+ict_fvg_bearish_formed,26182,0.4397295852112138,-0.007852787976803088,-0.007514065222767097,0.06498802238435142,-0.31090893418915383,6.544892396773436,0.7136008661310106,-0.6065838186164505,-0.8349819930568393,-0.00785278797680309,-1.0,-0.9974163072234536,-0.22592265454369187,-0.22592265454369187,0.9075431149040439,1.5581700564054399e-80,-0.12083438899494771,1.0,-0.2376801404795149,-0.007162517339279588,-0.0006902706375234999,0.6290848679674815,0.9658887329866197,1.3355743340618055e-79,True,1.0,False,0.9995462817276003,False,False,False,False
ict_mss_bullish+smc_internal_ob_bullish_formed,16681,0.5655536238834602,0.006401813661807788,0.007386122117733596,0.06043864891621756,0.44128242553411007,7.5146191541419505,1.3497153422188202,0.5317268023889025,0.7774633863289057,0.006401813661807788,-0.8845080570412562,-0.2775068692965888,0.13829702221190146,0.12232483041124041,1.0319585290888649,2.225721967517523e-42,0.10592251442751864,0.9872191443023691,-0.01740161039973678,0.007126864396507228,-0.0007250507346994398,0.6754537361420668,0.9384063156193526,5.5643049187938074e-42,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bearish+ict_fvg_bearish_formed,11819,0.429816397326339,-0.007847485054590536,-0.008765854821991104,0.07694708439755357,0.5939905584936508,10.75466909067634,0.737978810182108,-0.511963028000699,-0.7500143460645555,-0.007847485054590545,-1.0,-0.9936336028936811,-0.24265267869879278,-0.24265267869879278,0.9759333950400396,2.9226749724833847e-25,-0.1019854763313168,1.0,-0.2165546970546761,-0.00703023606644881,-0.0008172489881417269,0.5723798298419231,0.9252106352802989,3.8121847467174583e-25,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+smc_internal_ob_bearish_mitigated,11829,0.567334516865331,0.006301258415820581,0.006974924600092525,0.0583465147021501,0.555108685445221,7.982223529655071,1.3633586372137463,0.5421414862866766,0.7968847015216932,0.006301258415820583,-0.8325609306585919,-0.2526023033157182,0.14792278903610162,0.12315473490551132,1.0368920405809805,8.60877770103338e-31,0.10799716911948429,0.9840823469223359,-0.019328132121167012,0.007175288889167866,-0.0008740304733472854,0.7357222252847119,0.9380326230932237,1.291316655155007e-30,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bearish+smc_internal_choch_bearish,12109,0.4348831447683541,-0.007971453722405394,-0.0076706045621675045,0.06572855325334387,0.018026973232271738,5.809371835744649,0.7103116614298518,-0.608812732317082,-0.8595854839625813,-0.007971453722405396,-1.0,-0.9959047688679435,-0.22748596680927768,-0.22748596680927768,0.9208692959706793,2.077266820845235e-40,-0.12127839923206973,1.0,-0.23813916589276424,-0.007070175884787346,-0.0009012778376180476,0.6386823841920919,0.9485669125040394,4.616148490767188e-40,True,1.0,False,0.9995462817276003,False,False,False,False
