n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,ticker,signal_frequency,baseline_avg_return,excess_return_vs_baseline,p_value_vs_baseline,effect_size_vs_baseline,eligible,p_adjusted_vs_baseline,significant_vs_baseline
9070,0.5425578831312018,0.0047578674393803835,0.0067740225704714385,0.06842971000392259,1.1960891953449102,0.3490341400993299,0.5249634007474551,0.00469924508627715,-0.9999994585145899,-0.8615685332677996,0.061807494733043276,1.006017715816416,BX,9070,-0.0017114539842473355,0.006469321423627719,0.4348244571924175,0.10251674784599142,True,0.9963579652345987,False
8645,0.5082706766917293,0.0011271007516570459,0.00103733650941229,0.05691128417494821,1.059710387076478,0.0994179089569439,0.13229358190977464,0.0008659952732907247,-0.999999987132908,-0.9699502923331027,-0.013549675957907691,1.0112347867573217,KMI,8645,-0.005125188288607665,0.006252289040264711,0.4221364227222298,0.11226307329143626,True,0.9963579652345987,False
9204,0.532051282051282,0.005658499699131954,0.0040494214214072954,0.06059861256788902,1.289004671879938,0.4687474159361321,0.7179613888330064,0.005594649305209889,-0.9999967087776312,-0.7352497480131398,0.10076749133279339,1.1300177774924594,EME,9204,-0.0005383520356338886,0.0061968517347658425,0.3626163628903735,0.11428082293641693,True,0.9963579652345987,False
9077,0.541698799162719,0.004810870402456821,0.005364999760369971,0.07370285012790147,1.1990606291630557,0.32767223668446166,0.45224206827571684,0.0047992456477911685,-0.9999999786917095,-0.8109454031653959,0.05232102867273673,1.0139707333862082,ULTA,9077,-0.0013811596565841365,0.006192030059040958,0.572659370120874,0.08264809570938034,True,0.9963579652345987,False
9143,0.5173356666302089,0.00922873717032451,0.0036023020103770342,0.13556069894401768,1.2280146408550636,0.34175017741631925,0.5181761772360626,0.008895843530423539,-1.0,-0.975646709708362,-0.06521409057022504,1.1363678822457957,SMCI,9143,0.0031765147663414435,0.006052222403983067,0.6996114134229245,0.04925807646977194,True,0.9963579652345987,False
9230,0.5299024918743228,0.0035941485009039122,0.002813062561141666,0.05123664871563684,1.2076564182573786,0.35214017179261164,0.5424297652723631,0.0035941485009039036,-0.9999987281407298,-0.7254473887571012,0.05909894774482431,1.071359885262475,GWW,9230,-0.00240602860030496,0.006000177101208872,0.28877770964713484,0.13180006402922217,True,0.9963579652345987,False
9300,0.5396774193548387,0.0012279323492468495,0.004587049575809576,0.05409518809717385,1.0633304959751058,0.11395045822457459,0.1579537956117249,0.00119617640186016,-0.999999996760627,-0.8650833244348878,-0.006595071557240084,0.9054940306430767,CI,9300,-0.004762892243571685,0.005990824592818534,0.4846471619991183,0.1054383886164249,True,0.9963579652345987,False
8958,0.5144005358338914,0.004553634837534366,0.0020844868318481424,0.0720751393549974,1.1859269094115636,0.3171560356116468,0.5324462745772134,0.004553634837534359,-0.9999999998954391,-0.8629006940186883,0.05156831749153033,1.1195273558898227,REGN,8958,-0.0012661820354811408,0.0058198168730155065,0.43197708301260657,0.09313213662386559,True,0.9963579652345987,False
9398,0.5190466056607789,0.0016476253434393807,0.0015513786821348408,0.04861464844808093,1.0994969240793016,0.17013418476520414,0.24126672653174117,0.0016329578849838128,-0.9999981389274267,-0.8715441489861507,0.011463474285083024,1.0179024413985496,XOM,9398,-0.0041386525360595314,0.005786277879498912,0.27836474711138515,0.13423232448502037,True,0.9963579652345987,False
8257,0.5417221751241371,0.0060943186139033635,0.006460696097601026,0.07055057298586082,1.2570134108775821,0.433635551697422,0.6554123323469171,0.005961989791796185,-0.9999915584939797,-0.7848205249807897,0.09449169813316312,1.0574874726430452,APO,8257,0.0007258675537184134,0.0053684510601849506,0.6497520032020612,0.06974259803545788,True,0.9963579652345987,False
9153,0.5520594340653338,0.0037761745005098686,0.0053882751316916,0.06206469782738721,1.1920424988779206,0.30542717857877844,0.40134720524721085,0.0037039717229013953,-0.9999995766891423,-0.7652504353142463,0.046433668045483496,0.9636836746321602,IT,9153,-0.0014658037027923336,0.005241978203302202,0.6166941986765982,0.07755735113584872,True,0.9963579652345987,False
6227,0.5209571222097318,5.5725505960066574e-05,0.0033518988868802557,0.07402701279865961,1.0020193592899331,0.0037788883975622164,0.0053925884144733925,2.7944663331402192e-05,-0.9999999999878959,-0.9542621185589322,-0.06700740064869773,0.9204740106917388,PYPL,6227,-0.005169611235923422,0.005225336741883488,0.6518923736472346,0.06728249634421013,True,0.9963579652345987,False
9330,0.5506966773847802,0.002943463076419332,0.005865220160352513,0.052079993406212464,1.1612436052695305,0.2837186874903066,0.39525290461451923,0.0029041867611808436,-0.9999992911406193,-0.7841643853970159,0.040046839982444314,0.9454032699187322,DOV,9330,-0.0022709750660019185,0.00521443814242125,0.43840646160876345,0.10555646436798807,True,0.9963579652345987,False
9256,0.5220397579948142,0.001983653776246569,0.0023951255563336993,0.04970569805199663,1.1135229490824954,0.20033644665841777,0.2927911906786437,0.0018402970447527235,-0.9999997315924211,-0.8679504282882523,0.01875493707159595,1.0112042012777298,KR,9256,-0.0032010337612494223,0.005184687537495991,0.37381532219845265,0.11461591511517726,True,0.9963579652345987,False
9264,0.5268782383419689,0.0034612650979914585,0.0030379411642048604,0.04588584785043873,1.2136828440787728,0.3786660529624689,0.6183359950665809,0.003453870374312721,-0.999678671167706,-0.6962348176405591,0.06252699881443233,1.0893555705611766,AMGN,9264,-0.001680060324332936,0.005141325422324395,0.4222375948721467,0.11395018366735904,True,0.9963579652345987,False
9333,0.5485910211078967,0.003948703078646673,0.003962691013235098,0.04871782030467275,1.2657710818195471,0.40688052157031784,0.5566575413411055,0.003927513345253186,-0.999832727873658,-0.6712351289263047,0.07172119582003074,1.0400583869560223,CINF,9333,-0.0011486587645904848,0.005097361843237158,0.28134621999153303,0.12301573584328737,True,0.9963579652345987,False
9554,0.5014653548252042,0.0020626414343504294,0.000400258820211552,0.10720686883460237,1.0589641767022644,0.09658315680442182,0.1346078263116247,0.001989043151068598,-1.0,-0.9682796027198285,-0.12556406038971601,1.0505649617753836,APA,9554,-0.003023382843130318,0.005086024277480747,0.7091895792199902,0.05030834820528787,True,0.9963579652345987,False
