combination,n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,low_sample_warning,statistically_significant
ict_bos_bullish+ict_liquidity_buyside_swept,8890,0.5575928008998875,0.004562460114243636,0.005834499933389359,0.05505404236040409,1.261813960408392,0.4160161001716921,0.6149962487097554,0.00446891378957897,-0.8340186955500001,-0.3015099829299749,0.08019022943105351,0.9958071844094473,6.181636052117502e-15,0.08287239081148823,0.00118318708980004,-0.039054694769431186,6.998078549566984e-15,True,0.0017314933021464,True,False,True
ict_fvg_bullish_formed+ict_volume_imbalance_bullish,20053,0.553333665785668,0.00457925496896839,0.005549132708112081,0.05712577219515578,1.2595908980408865,0.4024046699015069,0.5811052721704922,0.004517990288067406,-0.9452042395101534,-0.3647963049751515,0.077414702327614,1.0132577826165243,8.989779457798147e-30,0.08016092899934064,5.833070928715209e-05,-0.038127061281099724,1.4578020742375373e-29,True,9.210111992708225e-05,True,False,True
ict_displacement_bullish+smc_internal_bos_bullish,13816,0.5480602200347423,0.004368038691731826,0.0045353286937247494,0.054724453941344446,1.2606439603391852,0.4006870535402661,0.6165385112765847,0.004295257073486488,-0.8964055024216602,-0.32122819642661105,0.07591341323849914,1.0350532886197454,7.465570962304003e-21,0.07981877163020466,4.853065601211104e-05,-0.0424874916279935,9.530516122090217e-21,True,7.86983611007206e-05,True,False,True
ict_fvg_bullish_formed+smc_internal_ob_bullish_formed,8953,0.5569082988942254,0.0045470813741437304,0.005860770987518471,0.058508093371356845,1.2484513118332743,0.3901369199297292,0.5673488388551385,0.004477616419684725,-0.9495156465175947,-0.3794230226758658,0.07450274070894045,0.9895466474859808,2.0988471176358972e-13,0.07771713470960231,0.0017088134104246788,-0.03823876491041292,2.3320523529287745e-13,True,0.0023843908052437377,True,False,True
smc_internal_bos_bullish+smc_internal_ob_bullish_formed,32142,0.5493435380499035,0.0041596496087959,0.0046808812271744715,0.05434176281937253,1.245451680421031,0.3842583351926477,0.5716996094901085,0.004077354479366427,-0.8443677540898304,-0.32176578309785037,0.07044429517351439,1.0167744222273976,9.716929784894957e-43,0.07654609259957626,6.667469720357133e-08,-0.04619759642211267,2.2423684118988362e-42,True,1.3334939440714265e-07,True,False,True
ict_bos_bullish+ict_ob_bullish_formed,12310,0.5521527213647441,0.004151566282125172,0.005295885149018464,0.05553067674758129,1.23904340888843,0.3753006185985778,0.537649469368277,0.0040660904842314445,-0.903913359657986,-0.3591129532467271,0.06824489884422733,1.000057693270844,1.199937358753778e-16,0.07476167274165263,2.3403068760599976e-05,-0.04589632078759748,1.3845431062543592e-16,True,4.0119546446742815e-05,True,False,True
ict_displacement_bullish+ict_fvg_bullish_formed,15257,0.5526643507898014,0.004225432128402361,0.005497960637093069,0.058964113118351875,1.2284112445375297,0.35973577517272115,0.5158673866761407,0.004154689375372427,-0.9893236043940827,-0.3933643456999425,0.0649948173170955,0.99050854502024,9.568116001131784e-19,0.07166108171458693,2.3015581652039497e-05,-0.043421393949457994,1.1716060409549124e-18,True,4.0119546446742815e-05,True,False,True
ict_bos_bullish+ict_volume_imbalance_bullish,15334,0.5472805530194339,0.003694437339079738,0.004578922158423038,0.05359788613472548,1.2198704620027914,0.34601977037377774,0.5078961489110407,0.0036092921715537747,-0.9437476001990965,-0.40607235615242665,0.05910687354321235,1.0040092088957675,1.5249814732878787e-17,0.0689287881576761,7.372890632308023e-08,-0.054512363453216195,1.7940958509269162e-17,True,1.4270110901241335e-07,True,False,True
ict_bos_bullish+smc_internal_ob_bullish_formed,26590,0.5477999247837533,0.003658630437941025,0.004471802672051828,0.05472425158329006,1.2113973606311157,0.33561316060692853,0.49084957814238844,0.0035732893271741076,-0.908662644113931,-0.3823959929321523,0.05637568295158509,0.9950823438110189,1.2929673580045132e-27,0.06685574187108995,7.589906604675002e-10,-0.05463573673073654,1.989180550776174e-27,True,1.5703255044155175e-09,True,False,True
ict_volume_imbalance_bullish+smc_internal_ob_bullish_formed,10187,0.5514871895553156,0.0035096231828506937,0.00507725355894606,0.055250484968647824,1.1975486616489368,0.3188780797440662,0.4540425780732789,0.0034511058354668306,-0.9610800790313755,-0.46483616865716565,0.051343293541082934,0.9707434327428368,1.50655238424437e-10,0.06352203396662034,7.608567751341403e-07,-0.05694629853550052,1.6141632688332535e-10,True,1.426606453376513e-06,True,False,True
ict_bos_bullish+smc_internal_bos_bullish,20948,0.5433454267710521,0.0033786518618910757,0.0038970846020693894,0.05421724158533976,1.1970424144894718,0.31282848855042616,0.464913537381728,0.003290368322889054,-0.8814001755373316,-0.3426255079921702,0.04986384322119587,1.0009007783075299,2.0503139284419953e-19,0.06231692655505102,1.8573434852402036e-10,-0.05967231819921547,2.562892410552494e-19,True,3.9800217540861506e-10,True,False,True
ict_displacement_bullish+ict_volume_imbalance_bullish,11993,0.543983990661219,0.003603691184450162,0.004981843912783779,0.05949721308372184,1.1929728143059657,0.3040543453112691,0.418874019081946,0.0035351479452274473,-0.9741616958221122,-0.5190017733434715,0.04721280091218046,0.9963992742417545,3.428928571329039e-11,0.06056907538474462,1.365492267585351e-06,-0.05348016483125115,3.7406493505407705e-11,True,2.4827132137915467e-06,True,False,True
ict_displacement_bullish+smc_fvg_bullish_formed,8006,0.5453409942543093,0.0038986492626314046,0.005255221860558379,0.06653305638573649,1.1827258116258605,0.2941554925668071,0.4134441004450633,0.0038280779436947777,-0.9821510030146527,-0.4632714383693761,0.04300382511676479,0.9828055988498906,1.6197521203850976e-07,0.05859717671811641,0.0004599051773561937,-0.04593330064463842,1.6197521203850976e-07,True,0.0007075464267018364,True,False,True
ict_fvg_bullish_filled+ict_fvg_bullish_formed,101087,0.5109361243285486,-0.001028274940968715,0.0011738145297923719,0.05578815152990415,0.94852481775195,-0.09252680174578513,-0.12619622803066327,-0.0010988304510591955,-1.0,-0.9934092452654033,-0.06349740985041788,0.9047247114509878,4.636439305790336e-09,-0.018431780096128985,7.759434294870297e-74,-0.13374816810389706,4.796316523231382e-09,True,1.939858573717574e-73,True,False,True
ict_fvg_bullish_filled+smc_fvg_bullish_formed,49108,0.5051722733566832,-0.001495657491325962,0.0007150870065832926,0.060562730407362646,0.931736421191474,-0.12397296105657814,-0.16987413164799434,-0.0015689352047853766,-1.0,-0.9955799274875471,-0.08119469466827386,0.9096148171894674,4.453544306091313e-08,-0.024696004973120137,2.2499780438152447e-67,-0.13633064708405324,4.529028107889471e-08,True,5.192257024189026e-67,True,False,True
ict_fvg_bullish_filled+ict_volume_imbalance_bullish,17735,0.49861855088807444,-0.002572147974878962,0.0,0.05368373689000744,0.8708085322278467,-0.24052126594552012,-0.32597577967489627,-0.0026418011750666617,-1.0,-0.9812622852425115,-0.09661724114974536,0.8725810702330601,1.8063814118025927e-10,-0.04791298303523531,2.463230033267341e-62,-0.16268488200027598,1.9014541176869398e-10,True,5.473844518371869e-62,True,False,True
ict_displacement_bearish+ict_fvg_bearish_formed,11896,0.42913584398117016,-0.007959073957495177,-0.008924492455350763,0.07679619842581045,0.7342911344817755,-0.520263176951208,-0.7616273271175144,-0.008060868379590795,-1.0,-0.9936751617211659,-0.2445713173946316,0.9734931240299035,1.776741118574454e-29,-0.10363890557921433,1.6414366780795537e-74,-0.2123803416045701,2.8053807135386113e-29,True,4.282008725424923e-74,True,False,True
ict_ob_bearish_formed+smc_internal_ob_bearish_formed,16392,0.43502928257686674,-0.007693792542561568,-0.007839174576775743,0.06993940302037291,0.7308440587083987,-0.552228505948112,-0.8040601262009716,-0.007764960807670428,-1.0,-0.99700381488948,-0.22732330135224782,0.9467869042698341,8.657753598876764e-45,-0.11000655153319532,1.7911486950003027e-102,-0.2202841348921595,2.1644383997191909e-44,True,6.7168076062511356e-102,True,False,True
ict_ob_bearish_formed+smc_internal_choch_bearish,9554,0.4365710697090224,-0.007564440347767644,-0.007591644463869396,0.06812232990438725,0.7290727990018833,-0.5574264595143666,-0.807714560897394,-0.007647676611879782,-1.0,-0.9917867416931744,-0.2224101776638497,0.9381284373634876,2.7608201595194247e-27,-0.11104200866859186,1.1588534773143747e-71,-0.22153589278048222,4.1412302392791374e-27,True,2.7812483455544992e-71,True,False,True
ict_mss_bearish+smc_internal_choch_bearish,12926,0.4361751508587343,-0.007546614091079257,-0.007825894039176773,0.06552938513807006,0.722076771581148,-0.5781177710471118,-0.8242417876727294,-0.007617589226245187,-1.0,-0.9889962357175254,-0.21892473127242357,0.9309641810257829,6.362196204326535e-39,-0.1151638165866898,1.6194259613941617e-93,-0.22593438930891369,1.2313928137406196e-38,True,5.11397672019209e-93,True,False,True
ict_displacement_bearish+ict_ob_bearish_formed,10502,0.4291563511712055,-0.008581157521318454,-0.008867163808709333,0.07250222089963881,0.7127853156440812,-0.5941482666649026,-0.8723616623226343,-0.008646086142097869,-1.0,-0.9960430698706569,-0.24785113210321572,0.9460576343871518,1.2416578228135866e-33,-0.11835716775072201,5.0282372376351204e-80,-0.228979743855043,2.1911608637886825e-33,True,1.371337428445942e-79,True,False,True
smc_internal_choch_bearish+smc_internal_ob_bearish_formed,26492,0.4361694096330968,-0.007725491596089506,-0.0075351462837246475,0.06500559549763452,0.7153605193380207,-0.5965895662635591,-0.8463805029212179,-0.007798368876853902,-1.0,-0.9976785454745687,-0.22174127944754088,0.9222609828280826,8.637881370033366e-83,-0.11884348627143379,2.0164270662708077e-147,-0.2297109921115473,5.758587580022244e-82,True,1.7283660568035494e-146,True,False,True
ict_displacement_bearish+smc_internal_choch_bearish,12204,0.43534906588003935,-0.008005538733595644,-0.00763117177316508,0.06551344690586108,0.7086274034898032,-0.6134234633290663,-0.865560085519073,-0.008065476043906023,-1.0,-0.9961107354835385,-0.22788566954855413,0.9170943019755106,3.1193730778340074e-41,-0.12219687883464787,1.2616659209647508e-95,-0.23316697279349552,6.238746155668015e-41,True,4.205553069882503e-95,True,False,True
ict_mss_bearish+smc_internal_ob_bearish_formed,15940,0.4323086574654956,-0.008209310389197427,-0.008270265703732904,0.06643529600275858,0.7053506858606542,-0.6203089858529888,-0.8866969799666227,-0.008277212063047053,-1.0,-0.9930172485060982,-0.2330641175202122,0.9239879032454108,1.8120001543635215e-54,-0.12356850775311597,5.518116745511324e-115,-0.23461422786671549,6.395294662459488e-54,True,2.5468231133129188e-114,True,False,True
